UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",21324
YV,Mesa Airlines Inc.,189994
YX,Republic Airline,196698
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1743
Z3Q,"PM Air, LLC",2990
ZK,Great Lakes Airlines,17937
ZW,Air Wisconsin Airlines Corp,130333
ZX,Air Georgian,6
All Rows,All Rows (including those not displayed),8829635
02Q,Titan Airways,1
04Q,Tradewind Aviation,5936
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",5212
0BQ,DCA,13
0CQ,ACM AIR CHARTER GmbH,30
0Q,Flying Service N.V.,9
0QQ,TAG Aviation (UK) Ltd.,1
0RQ,TAG Aviation Espana S.L.,14
0WQ,Avjet Corporation,1844
10Q,Swiss Air Ambulance,2
13Q,Chartright Air Inc.,289
14Q,London Air Services Limited,174
15Q,Air Alsie A/S,41
17Q,Albinati Aeronautics SA,11
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",73
1EQ,"KaiserAir, Inc.",297
1HQ,International Jet Management GmbH,1
1LQ,Bertelsmann Aviation GmbH,2
1PQ,Makani Kai Air Charters,3168
1QQ,City Wings Inc dba Seaflight,2656
1TQ,Rhoades Aviation dba Transair,4066
1UQ,Gainjet Aviation SA,20
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,3252
1XQ,Dassault Falcon Service,4
1YQ,"Air Charter, Inc d/b/a Air Flamenco",9819
22Q,Gem Air LLC,255
24Q,Jet Story,13
25Q,Mjet GmbH,3
26Q,Albinati aviation Limited,3
27Q,"Jet Aviation Flight Services, Inc.",3236
28Q,Menagerie Enterprises Inc d/b/a Monarch Air,1447
29Q,Erickson Helicopters,103
2AQ,ABS JETS A.S,7
2E,Smokey Bay Air Inc.,11940
2F,Frontier Flying Service,708
2GQ,Cavok Air LLC,11
2HQ,Elite Airways LLC,1446
2JQ,Delux Public Charter LLC,4118
2KQ,Longtail Aviation Ltd.,1
2O,Island Air Service,11238
2RQ,Luxaviation S A,1
2TQ,Trans Northern Airways d/b/a Air Unlimited Charter Services,122
2UQ,Svenskt Industriflyg AB,14
36Q,Air Hamburg Luftverkehrsgesellschaft mbH,1
3E,"Multi-Aero, Inc. d/b/a Air Choice One",17646
3F,"Pacific Airways, Inc.",7329
3M,Silver Airways,20412
3S,AeroLogic GmbH,64
4B,Boutique Air,35504
4M,LAN Argentina,2
4W,Warbelow,11197
4Y (1),Yute Air Aka Flight Alaska,4141
5D,Aerolitoral,12
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,6646
5X,United Parcel Service,113646
5Y,Atlas Air Inc.,15602
7H,NEW PACIFIC AIRLINES,24127
7S,Ryan Air f/k/a Arctic Transportation,14659
8C,Air Transport International,12294
8D,"Dynamic Aviation, Inc. d/b/a Beacon",8
8E,Bering Air Inc.,32068
8V,Wright Air Service,14827
9E,Endeavor Air Inc.,220243
9K,"Hyannis Air Service, Inc. dba Cape Air",98406
9S,Southern Air Inc.,3892
9X,"Southern Airways Express, dba Mokulele Airlines",25944
AA,American Airlines Inc.,887186
AAT,Air Sunshine Inc.,1246
ABX,ABX Air Inc,12476
AC,Air Canada,193
ADB,Antonov Company,63
AF,Compagnie Natl Air France,11
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,2773
AM,Aeromexico,18
AMQ,Ameristar Air Cargo,896
AS,Alaska Airlines Inc.,188163
AX,Trans States Airlines,83086
B6,JetBlue Airways,292011
BA,British Airways Plc,20
BCQ,Bradley Air Services Ltd.,1
BR,Eva Airways Corporation,1669
C5,CommuteAir LLC dba CommuteAir,45559
CA,Air China,645
CC,Air Atlanta Icelandic,7
CH,Bemidji Airlines,637
CI,China Airlines Ltd.,3138
CK,China Cargo Airline,803
CP (2),Compass Airlines,93142
CRV,Acropolis Aviation Ltd.,1
CX,Cathay Pacific Airways Ltd.,4027
D8,Norwegian Air International Ltd.,7
DE,Condor Flugdienst,13
DL,Delta Air Lines Inc.,922483
DY,Norwegian Air Shuttle ASA,11
EE,Eastern Airlines Group Inc.,200
ELL,Ellis Air Taxi Inc.,380
EM,Empire Airlines Inc.,31025
EV,ExpressJet Airlines LLC d/b/a aha!,335081
EY,Etihad Airways,3
